alg,family,role,layer,n_seeds,inert,late_censored,R,R_lo,R_hi,R_mid,drift,drift_lo,drift_hi,A_early,A_mid,A_late,A0_early,A0_late,B_early,B_mid,B_late,A0_mid
RealTimeActorCriticMLPReLU,eff_rank,critic,pre1,30,False,False,0.6406213,0.4922171,0.8272452,0.6950985,-0.55029565,-1.4889643,0.09542687,2.997136354446411,1.922239899635315,1.8554686307907104,1.0976903438568115,0.6386429071426392,52.92995834350586,52.77035903930664,51.884708404541016,0.6019377112388611
RealTimeActorCriticMLPReLU,eff_rank,actor,rtu,30,False,False,1.3094184,0.9922587,1.8012562,1.2168821,-1.8051637,-2.681304,-1.1355063,33.660709381103516,33.12862777709961,34.442039489746094,14.103216171264648,8.83309268951416,327.31268310546875,311.6612854003906,292.0082092285156,9.329463005065918
RealTimeActorCriticMLPReLU,eff_rank,critic,rtu,30,False,False,1.0864868,0.8294907,1.4503651,1.171643,-0.24597885,-1.4029111,0.7927857,32.041141510009766,31.520816802978516,29.705076217651367,13.147772789001465,9.17768669128418,313.1718444824219,317.662109375,308.5244140625,9.384536743164062
RealTimeActorCriticMLPReLU,eff_rank,actor,pre2,30,False,False,1.677696,1.2215197,2.523534,1.8287723,-2.533213,-4.0251875,-1.664363,4.175404071807861,5.60690975189209,4.920531749725342,1.976511836051941,1.231459379196167,25.18512535095215,22.45665168762207,19.614866256713867,1.585636854171753
RealTimeActorCriticMLPReLU,eff_rank,critic,pre2,30,False,False,0.7935558,0.64189315,0.9742372,1.078795,0.4283657,0.14439605,0.6334875,5.285007953643799,5.335413455963135,3.8999907970428467,1.2501620054244995,0.698115348815918,16.949138641357422,19.512035369873047,18.677526473999023,0.9826425313949585
RealTimeActorCriticMLPReLU,dormant,actor,pre1,30,False,True,-0.0050934656,-1.5584613,1.8062127,0.38879454,0.23769097,-5.420817,7.4490128,0.008456503972411156,0.002498592482879758,0.0022557713091373444,0.006383727304637432,0.002266329014673829,0.005803069099783897,0.003385416930541396,0.006295748520642519,0.00169270858168602
RealTimeActorCriticMLPReLU,dormant,critic,pre1,30,False,False,0.3424584,0.010432799,0.98586696,0.5931293,2.0075147,-0.83296835,8.043479,0.018457911908626556,0.008913992904126644,0.009797298349440098,0.011901745572686195,0.007552082650363445,0.01220439188182354,0.009104026481509209,0.02536599151790142,0.005025337915867567
RealTimeActorCriticMLPReLU,dormant,actor,rtu,30,False,False,1.2351753,0.95216596,1.869021,1.3267742,0.29231286,-0.025848573,0.7323199,0.041770920157432556,0.04152810201048851,0.0406254343688488,0.02211957797408104,0.016352586448192596,0.29918816685676575,0.29757463932037354,0.30493250489234924,0.015455203130841255
RealTimeActorCriticMLPReLU,dormant,critic,rtu,30,False,False,0.7712567,0.6526995,0.9237654,0.8901147,1.4747308,1.1217393,1.8832086,0.08782443404197693,0.0686991959810257,0.06073581054806709,0.02887127362191677,0.015267807058990002,0.26941820979118347,0.3203694224357605,0.35635820031166077,0.016224132850766182
RealTimeActorCriticMLPReLU,dormant,actor,pre2,30,False,False,1.4024531,1.0122786,1.9748899,1.6287638,2.2655706,1.6968552,3.218574,0.1267067939043045,0.15562006831169128,0.1379469335079193,0.0567004531621933,0.039766326546669006,0.34405967593193054,0.4486874043941498,0.5026639699935913,0.041596293449401855
